en_curid,name,numlangs,countryCode,countryCode3,countryName,continentName,birthyear,birthcity,gender,occupation,industry,domain,dataset,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
307,"Abraham Lincoln",131,US,USA,"United States","North America",1809,Hodgenville,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,66145211,5.801386687,586914.722,41477236,24667975,504925.2748,27.93858549
308,Aristotle,152,GR,GRC,Greece,Europe,-384,Stageira,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,56355172,11.91459682,201067.4607,15745351,40609821,370757.7105,31.99379508
339,"Ayn Rand",55,RU,RUS,Russia,Europe,1905,"Saint Petersburg",Female,WRITER,LANGUAGE,HUMANITIES,OGC,14208218,3.175684852,87632.4902,11023490,3184728,258331.2364,24.32593556
595,"Andre Agassi",69,US,USA,"United States","North America",1970,"Las Vegas",Male,"TENNIS PLAYER","INDIVIDUAL SPORTS",SPORTS,OGC,11244030,6.242524524,85553.3181,6353888,4890142,162956.9565,20.92599929
628,"Aldous Huxley",62,GB,GBR,"United Kingdom",Europe,1894,Surrey,Male,WRITER,LANGUAGE,HUMANITIES,OGC,9268920,6.219842058,33037.03209,5137256,4131664,149498.7097,25.99660548
676,"Andrei Tarkovsky",51,RU,RUS,Russia,Europe,1932,"Soviet Union",Male,"FILM DIRECTOR","FILM AND THEATRE",ARTS,OGC,4004103,9.298781801,14987.96969,1808634,2195469,78511.82353,25.24470117
700,"Arthur Schopenhauer",79,PL,POL,Poland,Europe,1788,"Gdańsk",Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,11622780,12.66621467,61718.81469,2743101,8879679,147123.7975,27.7760199
736,"Albert Einstein",166,DE,DEU,Germany,Europe,1879,Ulm,Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,89771090,11.50120142,342755.955,34276454,55494636,540789.6988,30.21061426
783,"Alexander the Great",138,GR,GRC,Greece,Europe,-356,Pella,Male,"MILITARY PERSONNEL",MILITARY,INSTITUTIONS,OGC,48358148,11.18240645,153675.9172,19942587,28415561,350421.3623,31.58395203
808,"Alfred Hitchcock",100,GB,GBR,"United Kingdom",Europe,1899,Leytonstone,Male,"FILM DIRECTOR","FILM AND THEATRE",ARTS,OGC,23216701,8.349060938,164426.3051,10496279,12720422,232167.01,27.17598213
